"24108_tulip_i_tulip_name","Свежие тюльпаны","Uekvlcg N Lqohoo Uekvlcg N Lqohoo","Tulipes fraîches","Frische Tulpen","Tulipanes frescos","Tulipani freschi","新鮮なチューリップ","新鲜郁金香","생생한 튤립","Tulipas Frescas","ดอกทิวลิปสดใหม่","Taze Laleler","Tulip Segar","Świeże tulipany","清新鬱金香"
"24108_tulip_i_cheese_name","Ароматный сыр","Tasty Cheese","Fromage savoureux","Köstlicher Käse","Queso delicioso","Formaggio saporito","おいしいチーズ","美味奶酪","맛있는 치즈","Queijo Saboroso","ชีสแสนอร่อย","Lezzetli Peynir","Keju Lezat","Pyszny ser","美味起司"
"24108_tulip_i_shoes_name","Деревянные башмаки","Wooden Shoes","Chaussures en bois","Holzschuhe","Zapatos de madera","Zoccoli di legno","木靴","木屐","나막신","Sapatos de Madeira","รองเท้าไม้","Tahta Ayakkabılar","Sepatu Kayu","Drewniane chodaki","木鞋"
"24108_tulip_i_palette_name","Палитра с краской","Paint Palette","Palette de peintre","Farbpalette","Paleta de pintura","Tavolozza di vernice","塗料パレット","颜料调色板","물감 팔레트","Paleta de Tintas","จานสี","Boya Paleti","Palet Cat","Paleta z farbami","顏料調色盤"
"24108_tulip_i_wreath_name","Цветочный венок","Flower Wreath","Couronne de fleurs","Blumenkranz","Corona de flores","Ghirlanda di fiori","花のリース","花环","화관","Guirlanda de Flores","พวงมาลัยดอกไม้","Çiçekli Çelenk","Kalung Bunga","Kwietny wianek","花環"
"24108_tulip_i_bailer_name","Садовая лейка","Garden Watering Can","Arrosoir de jardin","Gießkanne","Regadera de jardín","Annaffiatoio da giardino","庭用じょうろ","花园浇水壶","정원 물뿌리개","Regador de Jardim","บัวรดน้ำสวน","Bahçe Sulama Kabı","Gembor Kebun","Ogrodowa konewka","花園澆水壺"
"24108_tulip_i_decor_token_star_name","Улучшай-звезда","Upgrade Star","Étoile d'amélioration","Verbesserungs-
stern","Estrella de mejora","Stella delle migliorie","アップグレード星","升级版星星","업그레이드 별","Estrela Aprimorada","ดวงดาวอัปเกรด","Yükseltme Yıldızı","Bintang Upgrade","Gwiazda ulepszenia","升級版星星"
"24108_tulip_i_decor_token_star_hint","Можно найти в Хрустальном сундуке","Found in the Crystal Chest","Se trouve dans le coffre de cristal","Suche in der Kristalltruhe danach","Se obtiene del Cofre de cristal","Si trova nel forziere di cristallo","クリスタルの宝箱から入手","可在水晶宝箱找到","크리스탈 상자에서 찾을 수 있어요","Encontrada no Baú de Cristal","พบได้ในหีบคริสตัล","Kristal Sandıkta bulunur","Ditemukan di Peti Kristal","Znajdziesz w kryształowej skrzyni","可在水晶寶箱找到"
"24108_tulip_i_event_ticket_name","Билет на мероприятие","Event Ticket","Billet pour l'événement","Veranstaltungskarte","Entrada al evento","Biglietto evento","イベントチケット","活动券","이벤트 표","Ingresso do Evento","ตั๋วกิจกรรม","Etkinlik Bileti","Tiket Ajang","Bilet na wydarzenie","活動券"
"24108_tulip_i_liquorice_name","Баночка с лакрицей","Jar of Licorice","Pot de réglisse","Lakritzdose","Bote de regaliz","Barattolo di liquirizie","リコリスの瓶","甘草糖罐","감초 단지","Pote de Alcaçuz","โหลชะเอม","Meyan Kökü Kavanozu","Stoples Akar Manis","Słoik z lukrecją","甘草糖罐"
"24108_tulip_i_solar_energy_name","Солнечный эликсир","Sun Elixir","Élixir solaire","Sonnenelixier","Elixir solar","Elisir solare","太陽の薬","太阳灵药","태양 묘약","Elixir do Sol","น้ำอมฤตดวงตะวัน","Güneş İksiri","Eliksir Surya","Słoneczny eliksir","陽光藥水"
"24108_tulip_i_battery_name","Батарейкa","Battery","Pile","Batterie","Pila","Pila","バッテリー","电池","배터리","Bateria","แบตเตอรี่","Batarya","Baterai","Bateria","電池"
